,tconst,primary_title,genres,numvotes,averagerating,start_year,runtime_minutes,Comedy,Action,Documentary,Sport,Musical,Animation,Romance,News,Game-Show,Fantasy,Horror,History,Biography,Drama,Music,Sci-Fi,Thriller,Adventure,Family,Crime,Western,Mystery,War
55182,tt5605076,Andover,"['Comedy', 'Drama', 'Romance']",3533,5.9,2018,91.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55194,tt5606538,Confidential Assignment,['Action'],1828,6.5,2017,125.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55200,tt5607028,Fullmetal Alchemist,"['Action', 'Adventure', 'Fantasy']",17256,5.8,2017,135.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
55202,tt5607096,"Juliet, Naked","['Comedy', 'Drama', 'Music']",11247,6.6,2018,97.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
55205,tt5607714,On Body and Soul,"['Drama', 'Fantasy', 'Mystery']",18985,7.6,2017,116.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
55206,tt5607782,The Covenant,['Horror'],1359,5.2,2017,90.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55211,tt5608972,Bir Baba Hindu,"['Action', 'Adventure', 'Comedy']",1970,3.4,2016,112.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
55225,tt5610554,Tully,"['Comedy', 'Drama', 'Mystery']",41199,7.0,2018,95.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
55226,tt5610626,Dragonheart: Battle for the Heartfire,['Fantasy'],1636,5.3,2017,98.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55240,tt5611648,Joker,"['Comedy', 'Drama']",2451,8.5,2016,130.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55260,tt5612742,F*&% the Prom,"['Comedy', 'Drama']",3653,4.3,2017,92.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55266,tt5613484,Mid90s,"['Comedy', 'Drama']",23867,7.4,2018,85.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55268,tt5613834,A Gentleman,"['Action', 'Comedy']",4188,6.3,2017,145.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55278,tt5614612,Black Snow,"['Crime', 'Drama', 'Mystery']",4148,6.2,2017,90.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
55291,tt5616294,Spinning Man,"['Drama', 'Mystery', 'Thriller']",6872,5.6,2018,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
