tconst,genres,numvotes,averagerating,start_year,runtime_minutes,Adult,Sport,Sci-Fi,Fantasy,News,Western,Thriller,Family,Game-Show,Mystery,Music,Reality-TV,Animation,Drama,Adventure,Romance,History,Horror,War,Short,Biography,Documentary,Crime,Musical,Comedy,Action,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,month,roi
tt2077772,"['Drama', 'Thriller']",244,4.5,2012,103.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2016-04-08,hush,1000000.0,$0,0.0,2016,4,-100.0
tt4828062,['Documentary'],13,4.8,2015,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2016-04-08,hush,1000000.0,$0,0.0,2016,4,-100.0
tt5022702,"['Horror', 'Thriller']",79100,6.6,2016,82.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2016-04-08,hush,1000000.0,$0,0.0,2016,4,-100.0
tt2080374,"['Biography', 'Drama']",138668,7.2,2015,122.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2015-10-09,steve jobs,30000000.0,"$17,766,658",35579007.0,2015,10,18.59669
tt2081194,"['Comedy', 'Horror']",3225,4.3,2013,86.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2013-06-25,hansel & gretel get baked,4500000.0,$0,0.0,2013,6,-100.0
tt2083355,"['Comedy', 'Drama']",13967,6.7,2013,123.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2013-11-15,the best man holiday,17000000.0,"$70,525,195",72835710.0,2013,11,328.44535294117645
tt2083383,"['Drama', 'Sport']",56129,6.8,2012,111.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2012-09-21,trouble with the curve,60000000.0,"$35,763,137",47818913.0,2012,9,-20.301811666666666
tt2084970,"['Biography', 'Drama', 'Thriller']",620834,8.0,2014,114.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2014-11-28,the imitation game,15000000.0,"$91,125,143",227740463.0,2014,11,1418.2697533333335
tt2090488,"['Crime', 'Thriller']",846,5.2,2013,95.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2014-02-14,down and dangerous,50000.0,$0,0.0,2014,2,-100.0
tt2091256,"['Action', 'Animation', 'Comedy']",21903,6.2,2017,89.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,2017-06-02,captain underpants: the first epic movie,38000000.0,"$73,921,000",126577874.0,2017,6,233.09966842105263
tt2091427,"['Comedy', 'Drama']",515,6.2,2013,92.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2015-03-10,treading water,4700000.0,$0,0.0,2015,3,-100.0
tt2091473,['Drama'],34659,6.6,2012,106.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2013-01-04,promised land,15000000.0,"$7,597,898",12394562.0,2013,1,-17.369586666666667
tt2095649,"['Biography', 'Drama', 'Romance']",16685,5.7,2014,103.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,2015-12-01,grace of monaco,30000000.0,$0,25199891.0,2015,12,-16.000363333333333
