tconst,genre,roi,month,production_category
tt0458339,Sci-Fi,164.69269714285716,7,large
tt0470752,Sci-Fi,195.06455384615384,4,medium
tt0770828,Sci-Fi,196.88867466666667,6,large
tt0816692,Sci-Fi,303.8662878787879,11,large
tt0831387,Sci-Fi,230.672543125,5,large
tt0848228,Sci-Fi,574.6381764444443,5,large
tt0905372,Sci-Fi,-27.439268421052628,10,medium
tt0923653,Sci-Fi,-100.0,12,small
tt0945513,Sci-Fi,338.8390593750001,4,medium
tt0948470,Sci-Fi,244.49557590909092,7,large
tt1053424,Sci-Fi,-43.13988125,3,medium
tt1092026,Sci-Fi,152.905265,3,medium
tt3118452,Sci-Fi,-99.4988,8,small
tt1133985,Sci-Fi,9.767746,6,large
tt1213663,Sci-Fi,137.54252499999998,8,medium
tt1216520,Sci-Fi,-100.0,3,medium
tt1219289,Sci-Fi,476.16636666666665,3,medium
tt1219827,Sci-Fi,52.64608181818182,3,large
tt1228705,Sci-Fi,265.3861111764706,5,large
tt1231587,Sci-Fi,83.24375,3,medium
tt1234719,Sci-Fi,-25.901307692307693,11,medium
tt1234721,Sci-Fi,102.4848325,2,large
tt1270797,Sci-Fi,635.8867284482758,10,large
tt1270798,Sci-Fi,122.13019062499998,6,large
tt1300854,Sci-Fi,507.696136,5,large
tt1318514,Sci-Fi,406.4367741935483,8,medium
tt1334260,Sci-Fi,-25.508546666666664,9,medium
tt1343727,Sci-Fi,-7.8497644444444425,9,medium
tt1355644,Sci-Fi,174.76333818181817,12,large
tt2268573,Sci-Fi,-84.96878947368421,7,small
tt1375666,Sci-Fi,422.20290125,7,large
tt1385826,Sci-Fi,152.8512450199203,3,medium
tt1389072,Sci-Fi,-19.907395588235293,12,medium
tt1392170,Sci-Fi,747.40422375,3,medium
tt1392190,Sci-Fi,146.73201333333338,5,large
tt1399103,Sci-Fi,476.3028425641026,6,large
tt1408101,Sci-Fi,145.99030736842104,5,large
tt1411250,Sci-Fi,149.37831052631574,9,medium
tt1424381,Sci-Fi,218.0859725,7,medium
tt1430132,Sci-Fi,262.13639304347834,7,large
tt1440129,Sci-Fi,42.48987136363636,5,large
tt1441395,Sci-Fi,-45.639601503759394,4,medium
tt1446714,Sci-Fi,221.958612,6,large
tt1454468,Sci-Fi,530.6351572727273,10,large
tt1464540,Sci-Fi,192.390318,2,medium
